timestamp,gazepoint_x,gazepoint_y,pupil_area_right_sq_mm,pupil_area_left_sq_mm,eye_event
6,0.4815,0.704,0.46,0.48,FEx0.483y0.602d0.130
6,0.4878,0.7008,0.44,0.52,FB
6,0.4934,0.7186,0.46,0.51,NA
6,0.4875,0.7021,0.43,0.52,NA
7,0.4929,0.6509,0.45,0.54,FEx0.490y0.707d0.407
7,0.4961,0.6114,0.33,0.49,S
7,0.451,0.4353,0.34,0.5,S
7,0.476,0.5247,0.41,0.52,S
7,0.4616,0.4824,0.41,0.49,S
7,0.4702,0.5213,0.41,0.5,FB
7,0.4712,0.5294,0.42,0.51,FEx0.470y0.521d0.095
7,0.0,0.0,0.0,0.0,BB
7,0.4732,0.5419,0.47,0.63,BE
8,0.4453,0.5878,0.41,0.55,S
8,0.4609,0.696,0.46,0.56,S
8,0.4687,0.6585,0.5,0.58,S
8,0.4517,0.6698,0.48,0.58,FB
8,0.4513,0.6956,0.45,0.53,FEx0.452y0.670d0.111
8,0.4484,0.7079,0.46,0.53,FB
8,0.4551,0.7186,0.46,0.5,NA
8,0.4688,0.7103,0.51,0.57,FEx0.452y0.713d0.175
8,0.4982,0.7639,0.46,0.52,S
9,0.5035,0.7798,0.46,0.53,S
9,0.501,0.7696,0.48,0.49,S
9,0.4316,0.6239,0.43,0.56,S
9,0.4474,0.4225,0.35,0.52,S
9,0.4608,0.4452,0.39,0.55,S
9,0.4936,0.5371,0.44,0.63,S
9,0.505,0.5675,0.44,0.58,S
1,0.519,0.5744,0.45,0.57,S
1,0.5654,0.6028,0.4,0.55,S
1,0.5364,0.5898,0.43,0.62,FB
1,0.5391,0.6169,0.45,0.6,FEx0.536y0.590d0.131
1,0.5429,0.5716,0.43,0.61,S
1,0.5244,0.5557,0.46,0.59,S
1,0.5685,0.5448,0.44,0.58,S
1,0.5797,0.5383,0.43,0.57,S
2,0.5743,0.5517,0.4,0.59,S
2,0.586,0.6594,0.39,0.53,S
2,0.5663,0.6,0.44,0.57,S
2,0.4455,0.7017,0.47,0.51,S
2,0.4219,0.6867,0.46,0.47,S
2,0.433,0.608,0.41,0.56,S
2,0.4371,0.578,0.42,0.48,S
2,0.4415,0.5221,0.37,0.49,S
3,0.4285,0.5926,0.43,0.52,S
3,0.4925,0.6675,0.42,0.55,S
3,0.5031,0.6466,0.46,0.55,S
3,0.4849,0.6124,0.44,0.58,S
3,0.5175,0.6499,0.44,0.59,S
3,0.4979,0.6578,0.45,0.55,S
3,0.4974,0.6679,0.46,0.56,S
3,0.4997,0.6656,0.47,0.55,FB
3,0.4328,0.571,0.45,0.54,FEx0.500y0.666d0.100
4,0.431,0.5708,0.43,0.53,S
4,0.4436,0.5865,0.43,0.52,FB
4,0.4375,0.5716,0.44,0.55,NA
4,0.0,0.0,0.0,0.0,FEx0.441y0.579d0.269
4,0.4345,0.5625,0.46,0.55,NA
4,0.4848,0.6577,0.45,0.65,S
4,0.5135,0.6873,0.52,0.58,S
4,0.5102,0.6858,0.5,0.6,FB
5,0.4973,0.7601,0.45,0.51,FEx0.510y0.686d0.115
5,0.4944,0.837,0.55,0.58,S
5,0.0,0.0,0.0,0.0,BB
5,0.49,0.9082,0.38,0.53,BE
5,0.4316,0.4525,0.36,0.55,S
5,0.4158,0.4546,0.38,0.54,S
5,0.0,0.0,0.0,0.0,BB
5,0.3988,0.4286,0.46,0.52,BE
5,0.497,0.6466,0.45,0.59,S
6,0.509,0.5853,0.45,0.54,S
6,0.4667,0.5885,0.47,0.54,S
6,0.4337,0.4638,0.43,0.57,S
6,0.5073,0.5434,0.45,0.55,S
6,0.4772,0.536,0.43,0.5,S
6,0.4908,0.5174,0.45,0.54,FB
6,0.4835,0.6324,0.49,0.58,FEx0.491y0.517d0.091
6,0.5084,0.6427,0.49,0.57,S
6,0.4902,0.6292,0.47,0.59,S
6,0.0,0.0,0.0,0.0,BB
7,0.4815,0.6272,0.45,0.43,BE
7,0.4873,0.678,0.47,0.59,S
7,0.4895,0.6852,0.49,0.55,FB
7,0.5,0.8264,0.48,0.56,FEx0.489y0.685d0.085
7,0.4791,0.8027,0.44,0.56,S
7,0.4593,0.6786,0.49,0.63,S
7,0.4104,0.4918,0.36,0.57,S
7,0.424,0.4554,0.43,0.58,S
7,0.4308,0.4152,0.38,0.57,S
7,0.4464,0.4909,0.42,0.59,S
8,0.4615,0.5512,0.45,0.55,S
8,0.472,0.7013,0.52,0.56,S
8,0.503,0.8487,0.58,0.76,S
8,0.5401,0.9819,0.6,0.72,S
8,0.534,1.0247,0.51,0.63,S
8,0.4585,1.0636,0.62,0.81,S
8,0.5305,1.0219,0.58,0.78,S
8,0.5728,1.057,0.56,0.63,S
8,0.5401,1.0368,0.65,0.75,S
9,0.5292,1.1052,0.58,0.76,FB
9,0.0,0.0,0.0,0.0,FEx0.529y1.105d0.088
9,0.5178,1.1529,0.42,0.51,BE
9,0.4372,0.4966,0.48,0.59,S
9,0.4352,0.4996,0.48,0.61,S
9,0.4515,0.5736,0.49,0.57,S
9,0.4559,0.5968,0.46,0.59,S
9,0.4617,0.5673,0.47,0.62,FB
9,0.467,0.5463,0.5,0.62,NA
1,0.4884,0.6186,0.54,0.65,FEx0.464y0.557d0.234
1,0.4873,0.6595,0.55,0.65,S
1,0.4885,0.705,0.55,0.65,S
1,0.4812,0.7599,0.53,0.67,S
1,0.4831,0.7538,0.57,0.63,S
1,0.4433,0.5931,0.45,0.61,S
1,0.4208,0.4389,0.41,0.61,S
1,0.4314,0.3734,0.39,0.56,S
1,0.4149,0.3564,0.4,0.56,S
1,0.4034,0.4447,0.43,0.63,S
2,0.4069,0.4569,0.42,0.6,S
2,0.4064,0.4806,0.51,0.62,S
2,0.4812,0.6725,0.48,0.58,S
2,0.5499,0.5651,0.46,0.56,S
2,0.5327,0.5807,0.43,0.56,S
2,0.4914,0.627,0.47,0.54,S
2,0.4814,0.5278,0.48,0.54,S
2,0.4684,0.5576,0.46,0.55,S
2,0.4485,0.5529,0.46,0.59,FB
2,0.4475,0.4699,0.44,0.56,FEx0.448y0.553d0.096
3,0.4266,0.5126,0.47,0.58,S
3,0.4325,0.5081,0.46,0.58,FB
3,0.4455,0.5101,0.45,0.59,NA
3,0.4519,0.5128,0.46,0.57,NA
3,0.4582,0.5429,0.48,0.56,FEx0.443y0.510d0.269
3,0.5483,0.7392,0.16,0.23,BB
3,0.4569,0.5885,0.48,0.58,BE
3,0.4463,0.5811,0.47,0.57,S
3,0.4212,0.6795,0.48,0.61,S
3,0.413,0.6155,0.42,0.6,S
4,0.4095,0.4867,0.39,0.58,S
4,0.4482,0.5155,0.45,0.6,S
4,0.4611,0.6064,0.47,0.58,S
4,0.4739,0.626,0.48,0.55,S
4,0.4728,0.6164,0.47,0.57,S
4,0.4802,0.6272,0.46,0.57,FB
4,0.4366,0.6399,0.42,0.54,FEx0.480y0.627d0.118
4,0.4263,0.6457,0.42,0.55,FB
4,0.4032,0.6297,0.44,0.59,NA
5,0.4166,0.6122,0.46,0.56,FEx0.414y0.637d0.210
5,0.4521,0.6062,0.48,0.65,S
5,0.4691,0.6096,0.48,0.65,S
5,0.424,0.5606,0.41,0.57,S
5,0.4161,0.584,0.45,0.57,S
5,0.4538,0.6786,0.47,0.66,S
5,0.482,0.7038,0.52,0.64,S
5,0.4766,0.9006,0.42,0.39,BB
5,0.0,0.0,0.0,0.0,NA
6,0.4541,1.032,0.52,0.69,BE
6,0.4339,0.4447,0.48,0.6,S
6,0.4257,0.4066,0.47,0.61,S
6,0.4181,0.5127,0.4,0.59,S
6,0.4604,0.5769,0.48,0.57,S
6,0.5311,0.5861,0.5,0.65,S
6,0.529,0.5787,0.53,0.58,S
6,0.5258,0.5436,0.55,0.61,S
6,0.5137,0.563,0.47,0.58,S
7,0.5114,0.5786,0.52,0.62,S
7,0.529,0.5935,0.51,0.66,S
7,0.5406,0.5948,0.54,0.63,S
7,0.5315,0.5945,0.52,0.64,FB
7,0.5246,0.5962,0.49,0.61,NA
7,0.5042,0.5794,0.51,0.6,FEx0.528y0.595d0.229
